kind,stage,severity,seed,condition,accuracy,n
ablation,V2,0.16,1,canonical,0.942857,70
ablation,V2,0.16,1,fragmented,0.571429,70
ablation,V2,0.16,1,low_contrast,0.700000,70
ablation,V2,0.16,1,noise,0.514286,70
ablation,V2,0.16,1,crowded,0.528571,70
ablation,V2,0.16,1,rotated,0.871429,70
ablation,V2,0.16,1,sheared,0.842857,70
ablation,V4,0.16,1,canonical,0.928571,70
ablation,V4,0.16,1,fragmented,0.471429,70
ablation,V4,0.16,1,low_contrast,0.657143,70
ablation,V4,0.16,1,noise,0.857143,70
ablation,V4,0.16,1,crowded,0.442857,70
ablation,V4,0.16,1,rotated,0.700000,70
ablation,V4,0.16,1,sheared,0.742857,70
ablation,IT,0.16,1,canonical,0.942857,70
ablation,IT,0.16,1,fragmented,0.571429,70
ablation,IT,0.16,1,low_contrast,0.914286,70
ablation,IT,0.16,1,noise,0.885714,70
ablation,IT,0.16,1,crowded,0.614286,70
ablation,IT,0.16,1,rotated,0.785714,70
ablation,IT,0.16,1,sheared,0.928571,70
ablation,V1,0.16,2,canonical,0.871429,70
ablation,V1,0.16,2,fragmented,0.414286,70
ablation,V1,0.16,2,low_contrast,0.600000,70
ablation,V1,0.16,2,noise,0.700000,70
ablation,V1,0.16,2,crowded,0.371429,70
ablation,V1,0.16,2,rotated,0.628571,70
ablation,V1,0.16,2,sheared,0.685714,70
ablation,V2,0.16,2,canonical,1.000000,70
ablation,V2,0.16,2,fragmented,0.571429,70
ablation,V2,0.16,2,low_contrast,0.871429,70
ablation,V2,0.16,2,noise,0.757143,70
ablation,V2,0.16,2,crowded,0.542857,70
ablation,V2,0.16,2,rotated,0.842857,70
ablation,V2,0.16,2,sheared,0.871429,70
ablation,V4,0.16,2,canonical,0.942857,70
ablation,V4,0.16,2,fragmented,0.471429,70
ablation,V4,0.16,2,low_contrast,0.785714,70
ablation,V4,0.16,2,noise,0.657143,70
ablation,V4,0.16,2,crowded,0.400000,70
ablation,V4,0.16,2,rotated,0.685714,70
ablation,V4,0.16,2,sheared,0.600000,70
ablation,IT,0.16,2,canonical,0.985714,70
ablation,IT,0.16,2,fragmented,0.542857,70
ablation,IT,0.16,2,low_contrast,0.971429,70
ablation,IT,0.16,2,noise,0.928571,70
ablation,IT,0.16,2,crowded,0.514286,70
ablation,IT,0.16,2,rotated,0.885714,70
ablation,IT,0.16,2,sheared,0.900000,70
