kind,stage,severity,seed,condition,accuracy,n
decay,IT,0.25,0,rotated,0.133333,30
decay,IT,0.25,0,sheared,0.200000,30
decay,V1,0.45,0,canonical,0.566667,30
decay,V1,0.45,0,fragmented,0.266667,30
decay,V1,0.45,0,low_contrast,0.666667,30
decay,V1,0.45,0,noise,0.133333,30
decay,V1,0.45,0,crowded,0.233333,30
decay,V1,0.45,0,rotated,0.400000,30
decay,V1,0.45,0,sheared,0.366667,30
decay,V2,0.45,0,canonical,0.100000,30
decay,V2,0.45,0,fragmented,0.100000,30
decay,V2,0.45,0,low_contrast,0.100000,30
decay,V2,0.45,0,noise,0.100000,30
decay,V2,0.45,0,crowded,0.133333,30
decay,V2,0.45,0,rotated,0.100000,30
decay,V2,0.45,0,sheared,0.100000,30
decay,V4,0.45,0,canonical,0.100000,30
decay,V4,0.45,0,fragmented,0.100000,30
decay,V4,0.45,0,low_contrast,0.100000,30
decay,V4,0.45,0,noise,0.100000,30
decay,V4,0.45,0,crowded,0.100000,30
decay,V4,0.45,0,rotated,0.100000,30
decay,V4,0.45,0,sheared,0.100000,30
decay,IT,0.45,0,canonical,0.100000,30
decay,IT,0.45,0,fragmented,0.100000,30
decay,IT,0.45,0,low_contrast,0.100000,30
decay,IT,0.45,0,noise,0.100000,30
decay,IT,0.45,0,crowded,0.100000,30
decay,IT,0.45,0,rotated,0.100000,30
decay,IT,0.45,0,sheared,0.100000,30
decay,V1,0.65,0,canonical,0.400000,30
decay,V1,0.65,0,fragmented,0.200000,30
decay,V1,0.65,0,low_contrast,0.100000,30
decay,V1,0.65,0,noise,0.100000,30
decay,V1,0.65,0,crowded,0.200000,30
decay,V1,0.65,0,rotated,0.333333,30
decay,V1,0.65,0,sheared,0.133333,30
decay,V2,0.65,0,canonical,0.100000,30
decay,V2,0.65,0,fragmented,0.100000,30
decay,V2,0.65,0,low_contrast,0.100000,30
decay,V2,0.65,0,noise,0.100000,30
decay,V2,0.65,0,crowded,0.100000,30
decay,V2,0.65,0,rotated,0.100000,30
decay,V2,0.65,0,sheared,0.100000,30
decay,V4,0.65,0,canonical,0.100000,30
decay,V4,0.65,0,fragmented,0.100000,30
decay,V4,0.65,0,low_contrast,0.100000,30
decay,V4,0.65,0,noise,0.100000,30
decay,V4,0.65,0,crowded,0.100000,30
decay,V4,0.65,0,rotated,0.100000,30
decay,V4,0.65,0,sheared,0.100000,30
decay,IT,0.65,0,canonical,0.100000,30
decay,IT,0.65,0,fragmented,0.100000,30
decay,IT,0.65,0,low_contrast,0.100000,30
decay,IT,0.65,0,noise,0.100000,30
decay,IT,0.65,0,crowded,0.100000,30
decay,IT,0.65,0,rotated,0.100000,30
decay,IT,0.65,0,sheared,0.100000,30
decay,V1,0.85,0,canonical,0.166667,30
decay,V1,0.85,0,fragmented,0.133333,30
decay,V1,0.85,0,low_contrast,0.100000,30
decay,V1,0.85,0,noise,0.100000,30
decay,V1,0.85,0,crowded,0.166667,30
decay,V1,0.85,0,rotated,0.100000,30
decay,V1,0.85,0,sheared,0.100000,30
decay,V2,0.85,0,canonical,0.100000,30
decay,V2,0.85,0,fragmented,0.100000,30
decay,V2,0.85,0,low_contrast,0.100000,30
decay,V2,0.85,0,noise,0.100000,30
decay,V2,0.85,0,crowded,0.100000,30
decay,V2,0.85,0,rotated,0.100000,30
decay,V2,0.85,0,sheared,0.100000,30
decay,V4,0.85,0,canonical,0.100000,30
decay,V4,0.85,0,fragmented,0.100000,30
decay,V4,0.85,0,low_contrast,0.100000,30
decay,V4,0.85,0,noise,0.100000,30
decay,V4,0.85,0,crowded,0.100000,30
decay,V4,0.85,0,rotated,0.100000,30
decay,V4,0.85,0,sheared,0.100000,30
decay,IT,0.85,0,canonical,0.100000,30
decay,IT,0.85,0,fragmented,0.100000,30
decay,IT,0.85,0,low_contrast,0.100000,30
decay,IT,0.85,0,noise,0.100000,30
decay,IT,0.85,0,crowded,0.100000,30
decay,IT,0.85,0,rotated,0.100000,30
decay,IT,0.85,0,sheared,0.100000,30
gain,V1,0.25,0,canonical,0.900000,30
gain,V1,0.25,0,fragmented,0.666667,30
gain,V1,0.25,0,low_contrast,0.800000,30
gain,V1,0.25,0,noise,0.933333,30
gain,V1,0.25,0,crowded,0.500000,30
gain,V1,0.25,0,rotated,0.800000,30
gain,V1,0.25,0,sheared,0.800000,30
gain,V2,0.25,0,canonical,1.000000,30
gain,V2,0.25,0,fragmented,0.500000,30
gain,V2,0.25,0,low_contrast,0.933333,30
gain,V2,0.25,0,noise,0.966667,30
gain,V2,0.25,0,crowded,0.533333,30
gain,V2,0.25,0,rotated,0.833333,30
gain,V2,0.25,0,sheared,0.866667,30
gain,V4,0.25,0,canonical,0.966667,30
gain,V4,0.25,0,fragmented,0.566667,30
gain,V4,0.25,0,low_contrast,0.966667,30
gain,V4,0.25,0,noise,0.900000,30
gain,V4,0.25,0,crowded,0.666667,30
gain,V4,0.25,0,rotated,0.800000,30
gain,V4,0.25,0,sheared,0.900000,30
gain,IT,0.25,0,canonical,0.966667,30
gain,IT,0.25,0,fragmented,0.566667,30
gain,IT,0.25,0,low_contrast,0.933333,30
gain,IT,0.25,0,noise,0.900000,30
gain,IT,0.25,0,crowded,0.533333,30
gain,IT,0.25,0,rotated,0.900000,30
gain,IT,0.25,0,sheared,0.933333,30
gain,V1,0.5,0,canonical,0.300000,30
gain,V1,0.5,0,fragmented,0.233333,30
gain,V1,0.5,0,low_contrast,0.400000,30
gain,V1,0.5,0,noise,0.733333,30
gain,V1,0.5,0,crowded,0.100000,30
gain,V1,0.5,0,rotated,0.366667,30
gain,V1,0.5,0,sheared,0.400000,30
gain,V2,0.5,0,canonical,0.866667,30
gain,V2,0.5,0,fragmented,0.266667,30
gain,V2,0.5,0,low_contrast,0.500000,30
gain,V2,0.5,0,noise,0.566667,30
gain,V2,0.5,0,crowded,0.333333,30
gain,V2,0.5,0,rotated,0.500000,30
gain,V2,0.5,0,sheared,0.466667,30
gain,V4,0.5,0,canonical,0.666667,30
gain,V4,0.5,0,fragmented,0.433333,30
gain,V4,0.5,0,low_contrast,0.733333,30
gain,V4,0.5,0,noise,0.633333,30
gain,V4,0.5,0,crowded,0.600000,30
gain,V4,0.5,0,rotated,0.600000,30
gain,V4,0.5,0,sheared,0.433333,30
gain,IT,0.5,0,canonical,0.900000,30
gain,IT,0.5,0,fragmented,0.566667,30
gain,IT,0.5,0,low_contrast,0.833333,30
gain,IT,0.5,0,noise,0.866667,30
gain,IT,0.5,0,crowded,0.533333,30
gain,IT,0.5,0,rotated,0.833333,30
gain,IT,0.5,0,sheared,0.733333,30
gain,V1,1.0,0,canonical,0.100000,30
gain,V1,1.0,0,fragmented,0.100000,30
gain,V1,1.0,0,low_contrast,0.100000,30
gain,V1,1.0,0,noise,0.200000,30
gain,V1,1.0,0,crowded,0.100000,30
gain,V1,1.0,0,rotated,0.100000,30
gain,V1,1.0,0,sheared,0.100000,30
gain,V2,1.0,0,canonical,0.200000,30
gain,V2,1.0,0,fragmented,0.100000,30
gain,V2,1.0,0,low_contrast,0.100000,30
gain,V2,1.0,0,noise,0.100000,30
gain,V2,1.0,0,crowded,0.100000,30
gain,V2,1.0,0,rotated,0.100000,30
gain,V2,1.0,0,sheared,0.166667,30
gain,V4,1.0,0,canonical,0.133333,30
gain,V4,1.0,0,fragmented,0.133333,30
gain,V4,1.0,0,low_contrast,0.100000,30
gain,V4,1.0,0,noise,0.133333,30
gain,V4,1.0,0,crowded,0.100000,30
gain,V4,1.0,0,rotated,0.133333,30
gain,V4,1.0,0,sheared,0.166667,30
gain,IT,1.0,0,canonical,0.500000,30
gain,IT,1.0,0,fragmented,0.300000,30
gain,IT,1.0,0,low_contrast,0.733333,30
gain,IT,1.0,0,noise,0.600000,30
gain,IT,1.0,0,crowded,0.266667,30
gain,IT,1.0,0,rotated,0.400000,30
gain,IT,1.0,0,sheared,0.133333,30
gain,V1,1.6,0,canonical,0.100000,30
gain,V1,1.6,0,fragmented,0.100000,30
gain,V1,1.6,0,low_contrast,0.100000,30
gain,V1,1.6,0,noise,0.100000,30
gain,V1,1.6,0,crowded,0.100000,30
gain,V1,1.6,0,rotated,0.100000,30
gain,V1,1.6,0,sheared,0.100000,30
gain,V2,1.6,0,canonical,0.100000,30
gain,V2,1.6,0,fragmented,0.100000,30
gain,V2,1.6,0,low_contrast,0.100000,30
gain,V2,1.6,0,noise,0.100000,30
gain,V2,1.6,0,crowded,0.100000,30
gain,V2,1.6,0,rotated,0.100000,30
gain,V2,1.6,0,sheared,0.100000,30
gain,V4,1.6,0,canonical,0.100000,30
gain,V4,1.6,0,fragmented,0.100000,30
gain,V4,1.6,0,low_contrast,0.100000,30
gain,V4,1.6,0,noise,0.100000,30
gain,V4,1.6,0,crowded,0.100000,30
gain,V4,1.6,0,rotated,0.100000,30
gain,V4,1.6,0,sheared,0.100000,30
gain,IT,1.6,0,canonical,0.166667,30
gain,IT,1.6,0,fragmented,0.100000,30
gain,IT,1.6,0,low_contrast,0.333333,30
gain,IT,1.6,0,noise,0.100000,30
gain,IT,1.6,0,crowded,0.066667,30
gain,IT,1.6,0,rotated,0.133333,30
gain,IT,1.6,0,sheared,0.100000,30
gain,V1,2.4,0,canonical,0.100000,30
gain,V1,2.4,0,fragmented,0.100000,30
gain,V1,2.4,0,low_contrast,0.100000,30
gain,V1,2.4,0,noise,0.100000,30
gain,V1,2.4,0,crowded,0.100000,30
gain,V1,2.4,0,rotated,0.100000,30
gain,V1,2.4,0,sheared,0.100000,30
gain,V2,2.4,0,canonical,0.100000,30
gain,V2,2.4,0,fragmented,0.100000,30
gain,V2,2.4,0,low_contrast,0.100000,30
gain,V2,2.4,0,noise,0.100000,30
gain,V2,2.4,0,crowded,0.100000,30
gain,V2,2.4,0,rotated,0.100000,30
gain,V2,2.4,0,sheared,0.100000,30
gain,V4,2.4,0,canonical,0.100000,30
gain,V4,2.4,0,fragmented,0.100000,30
gain,V4,2.4,0,low_contrast,0.100000,30
gain,V4,2.4,0,noise,0.100000,30
gain,V4,2.4,0,crowded,0.100000,30
gain,V4,2.4,0,rotated,0.100000,30
gain,V4,2.4,0,sheared,0.100000,30
gain,IT,2.4,0,canonical,0.166667,30
gain,IT,2.4,0,fragmented,0.100000,30
gain,IT,2.4,0,low_contrast,0.133333,30
gain,IT,2.4,0,noise,0.100000,30
gain,IT,2.4,0,crowded,0.066667,30
gain,IT,2.4,0,rotated,0.100000,30
gain,IT,2.4,0,sheared,0.100000,30
